Serial No.,Name of the Project,Project Activity,Name of the Contact Person,Sector,Address Line.1,Address Line.2,Address Line.3,Telephone,Fax,Email
1,3 S FABRICATIONS (PVT) LTD.,STRAIN GAIGES & LOAD CELLS,MR. CHARITH - ACCOUNTANT,Manufacturing,VENUS MILLS,"ETIYAWELA, DALUWELA",DANKOTUWA.,031-2259559,031-2261191,charith@3slk.com
2,3 S G CORPORATION (PVT) LTD.,PROCESS FINANCIAL DATA,BUDDIN GUNESEKARA- COUNTRY MANAGER,Knowledge Services,"NO. 3-3/1, STATION ROAD",COLOMBO 03.,,2301307-304,2301268,buddhin@inperium.lk
3,4 EVER SKIN NATURALS (PVT) LTD.,PERSONAL CARE PRODUCTS,SAGARA FERNANDO,Manufacturing,"# 287/2B,",STANLEY THILAKARATNE MW.,NUGEGODA,714797007,112819886,sagara.fernando@4everskinnaturals.com
4,99 X TECHNOLOGY LTD.,COMPUTER SOFTWARE,MANO SEKARAM -,Knowledge Services,"NO. 65 , LEVEL 2",WALUKARAMA RD.,COLOMBO 03.,4-721194-6,4-721198,mano@99x.lk
5,A  B  LEISURE (PVT) LTD. - EXP,"LEISURE ACTIVITIES, TOURISM & RECREATION",RUSI PESTONJEE,Tourism & Leisure,NO. 498,GALLE RD.,COLOMBO 03,0777 314888,4520632,
6,A & C FASHIONS INTL. (PVT) LTD.,TRADING HOUSE,E M RATNAPALA - SECRETARY,Apparel,NO. 382/15,NAS SILVA MW.,PEPILIYANA,825188/821799,,
7,A & R MANUFACTURING (PVT) LTD.,MEDICAL AND SAFETY EQUIPMENTS & PRODUCTS,HENNING WEBER,Apparel,NO. 7A,CLASSEN PLACE,COLOMBO 05,"766701169,077-4755700",,henningweber@ar-textile.de
8,A C L ELECTRIC (PVT) LTD,ELECTRICAL ACCESSORIES,ERANDA KAPUKOTUWA,Manufacturing,NO. 60,RODNEY ST.,COLOMBO 08,117608300,011 2699503,eranda@acl.lk
9,A E N  PALM OIL PROCESSING (PVT) LTD.,ULTIVATE PALM TREES & PROC.OF PALM FRUITS FOR OIL,NEIL SOMASIRI - SENIOR ACCOUNTANT,Agriculture,MARAGAHADENIYA,BADURALIYA.,,077-7260775,034-4933174,neil@aenpalmoil.com
10,A M S INTL. (PVT) LTD.,"GOLD/SILVER JEW.,GEMS,DIAMONDS",RAVINDRA FERNANDO,Manufacturing,"185B, OBEYSEKARAPURA",RAJAGIRIYA,,773265302,0112 834112,mrfasso@yahoo.com
11,A P L LOGISTICS LANKA (PVT) LTD.,LOGISTIC SERVICES,MR. DILEEPA DISSANAYAKE,Services,"NO. 8, 3RD FLOOR,","YORK ARCADE BUILDING,","LAYDEN BASTIAN ROAD, COLOMBO 01",777415960,112335881,Dileepa_Sewwan_Dissanayake@apllogistics.com
12,A S R VEGITABLE OIL COMPLEX (PVT) LTD.,SOLVENT EXTRACTION PLANT TO PROD.RICE BRAN OIL&DE-OILED CAKE,M A R A SABRY,Manufacturing,NO. 14,SPILL ROAD,PUTTALAM,777328244,322267440,asrvegetableoil@gmail.com
13,A T G CEYLON (PVT) LTD.,COTTON AND OTHER GLOVES,J.A.N JAYASINGHE - ACCOUNTANT,Apparel,"SPUR RD. 7, PHASE II",I.P.Z,KATUNAYAKE.,4838900,2259317,nilanthaj@atg-glovesolutions.com
14,A T G CEYLON (PVT) LTD. - EXP1,INDUSTRIAL GLOVES,FAZAL ABDEEN - DIRECTOR/GENERAL MANAGER,Apparel,,,,2253885,2253887,johnward@jwcgloves.com
15,A T G GLOVES KNITTING (PVT) LTD.,INDUSTRIAL GLOVES,S.R.R.ROSA,Apparel,"SPUR ROAD 7,PHASE 2","IPZ,KATUNAYAKE",SRI LANKA,114838900,4838955,roshan@atg_glovesolutions.com
16,A T G HAND CARE (PVT) LTD.,INDUSTRIAL GLOVES,M FAZAL ABDEEN,Apparel,SPUR ROAD 7,E P Z,KATUNAYAKE,114838900,112253887,
17,A T G LANKA (PVT) LTD.,EXPORT TRADING HOUSE,K S FERNANDO - FIN. CONTROLLER,Apparel,"SPUR ROAD 7, PHASE II",E.P.Z.,KATUNAYAKE.,4838900,2259317,sudath@agg.glovesolutions.com
18,A T G OCCUPATIONAL (PVT) LTD.,DIPCOATED INDUSTRIAL GLOVES,ATG OCCUPATIONAL (PVT) LTD,Apparel,"SPUR RD 7, PHASE II,",IPZ,KATUNAYAKE,114838900,112259317,jekinmr@atg-glovesolutions.com
19,A.B. DEVELOPMENTS (PVT) LTD.,WAREHOUSE,D G WIMALASURIYA - G.CHIEF ACCOUNTANT,Services,NO. 334,T.B. JAYAH MW.,COLOMBO 10.,2697151,2699029,akbar@akbar.com
20,A.B. DEVELOPMENTS (PVT) LTD. - EXP 2,WAREHOUSE,D G WIMALASURIYA,Services,NO. 334,T B JAYAH MW.,COLOMBO 10,2697151,2699029,
21,A.B. DEVELOPMENTS (PVT) LTD. - EXP1,WAREHOUSE,D G WIMALASURIYA - COMPANY SECRETARY,Services,,,,2697151,2699029,akbar@akbar.com
22,A.J. FISHING INDUSTRIES (PVT) LTD.,FISHING GEARS & LEAD WEIGHTS,J S PETERSAY,Manufacturing,CIRCULA ROAD,IPZ,KATUNAYAKE.,2252796/7,2252798,samanjithajfi@sltnet.lk
23,A.O.D.COLOMBO (PVT) LTD.,"VISUAL ARTS, FASHION DESIGN&MERCHANDISING&COMMERCIAL ARTS",MRS. SHARLYN LINDA SPELDEWINDE,Knowledge Services,NO. 07,SIMON ABEYWICKREMA AVE.,MT. LAVINIA,5867772,,suneth@aod.lk
24,AB TECHNOLOGIES (PVT) LTD.,COMPUTER SOFTWARE,LASANGA FERNANDO,Knowledge Services,"498,GALLE RD.",COLOMBO 03.,,25775667,2565505,lasanga@abansgroup.com
25,ABANS INVESTMENTS (PVT) LTD.,HIGH RISE BUILDING.,MS.GAYANI WIJAYARATHNE,Infrastructure,"498, GALLE RD.",COLOMBO 3.,,2565294/95-6583,2575712,accounts@absgdh.lk
26,ABANS WAREHOUSING (PVT) LTD.,WAREHOUSING & COLD CHAIN COMPLEX,RUSI PESTONJEE,Services,ABANS LTD.,"NO. 498, GALLE RD.",COLOMBO 03.,933380,,
27,ABDULLA INTERNATIONAL (PVT) LTD.,PAPER SACKS,MR. M.A.A.NILAMDEEN,Manufacturing,"NO. 72 , MAHAVIDYALA MW.",COLOMBO 13.,,"24,339,520,773,600,500",2422995,nilamdeen@sltnet.lk
28,ABURNET LANKA (PVT) LTD.,HAIR NETS,G R RATHNAYAKE,Apparel,"NO. 05, 9TH LANE",NAWALA RD.,NAWALA,"011 7559900, 077 3047669",44(0)13328753284,
29,ACCENTURE LANKA (PVT) LTD.,IT AND IT ENABLED SERVICES FOR EXPORT MARKET,DUMINDA THUSHARA,Knowledge Services,NO 21,TEMPLE ROAD,"EKALA, JA ELA",114751119,114751198,duminda.thushara@accenture.com
30,ACCESS ENERGY (PVT) LTD.,2.5 MW HYDRO POWER PLANT,SRIMALI PERERA - ASST. ACCOUNTANT,Utilities,"ACCESS TOWERS, NO:278,","UNION PLACE,",COLOMBO 02,2304656,2302333,srimali@access.lk
31,ACCESS ENERGY (PVT) LTD. - EXPANSION,MINI HYDRO POWER PROJECT,ROMESH DE SILVA,Utilities,ACCESS ENERGY (PVT) LTD.,"""ACCESS TOWERS"", 278","UNION PLACE, COLOMBO 02",2302302,2302333,
32,ACCESS REALTIES (PVT) LTD.,BUILDING COMPLEX,MR.DULIP PEIRIS - MANAGER,Infrastructure,"278,UNION PLACE",COLOMBO 02.,,2302302 / 2302362,2302384,dulip@accessengsl.com
33,ACCESS REALTIES 2 (PVT) LTD.,MIXED DEVELOPMENT PROJECT,DULIP PEIRIS,Infrastructure,NO. 278,UNION PLACE,COLOMBO 02,"0112 302302,0777765063",0112 302333,dulip@accessengsl.com
34,ACE APPARELS (PVT) LTD.,GARMENTS,R A D A RANASINGHE,Apparel,NO. 222,AGALAWATTE,MATUGAMA,077 3623135,342247387,apparelsfin@aitkenspence.lk
35,ACE CONTAINER TERMINAL (PVT) LTD.,CONTAINER FREIGHT STATION,D P S RANDENIYA,Services,"775/5 , NEGOMBO RD.",MABOLE,WATTALA.,2931127 EXT. 182,2931138,accountsact@aitkenspence.lk
36,ACE DISTRIPARKS (PVT) LTD.,WAREHOUSING COMPLEX,RANJITH PRITHISINGHE - FINANCE MANAGER,Services,NO. 775/5,"NEGOMBO RD. , MABOLE",WATTALA.,2944500-EXT.-534,2931138,ranjith@aitkenspence.lk
